1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES,GE RUNOFF ELECTION %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",SPECIAL PE/CONVENTION/RUNOFF WINNER INDICATOR,SPECIAL GE/RUNOFF WINNER INDICATOR,FOOTNOTES,"MEMBER WHOSE DEATH OR RESIGNATION CREATED THE VACANCY (""-"" indicates death)",
131,AZ,Arizona,S,S0AZ00483,,Perry,Kapadia,"Kapadia, Perry",,W,,,,,58,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
132,AZ,Arizona,S,,,Mathew,Haupt,"Haupt, Mathew",,W,,,,,37,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
133,AZ,Arizona,S,,,"Patrick ""Pat""",Thomas,"Thomas, Patrick ""Pat""",,W,,,,,29,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
134,AZ,Arizona,S,"S8AZ00312
",,Edward ,Davida,"Davida, Edward ",,W,,,,,28,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
135,AZ,Arizona,S,,,Jim,Stevens,"Stevens, Jim",,W,,,,,23,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
136,AZ,Arizona,S,S0AZ00533,,Buzz,Stewart,"Stewart, Buzz",,W,,,,,22,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
137,AZ,Arizona,S,,,"William ""Will""",Decker,"Decker, William ""Will""",,W,,,,,21,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
138,AZ,Arizona,S,S0AZ00459,,Adam,Chilton,"Chilton, Adam",,W,,,,,19,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
139,AZ,Arizona,S,S0AZ00491,,Benjamin,Rodriguez,"Rodriguez, Benjamin",,W,,,,,17,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
140,AZ,Arizona,S,,,Frank,Saenz,"Saenz, Frank",,W,,,,,8,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
141,AZ,Arizona,S,S0AZ00145,,Barry,Hess,"Hess, Barry",,W(LIB),329,76.51%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
142,AZ,Arizona,S,S0AZ00426,,Alan,White,"White, Alan",,W(LIB),101,23.49%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
143,AZ,Arizona,S,,,,,,Total Party Votes:,LIB,430,,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
144,AZ,Arizona,S,,,,,,Total State Votes:,,"1,400,086",,,,"3,355,317",,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020; SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
145,,,,,,,,,,,,,,,,,,,,,,,,,
146,GA,Georgia,05,H0GA05327,,Kwanza,Hall,"Hall, Kwanza",,D,,,,,"11,104",31.75%,"13,450",54.27%,,,,W,SPECIAL GENERAL ELECTION: 9/29/2020; SPECIAL GENERAL RUNOFF ELECTION: 12/01/2020.,John Lewis (D)-,
147,GA,Georgia,05,H0GA05335,,Robert M.,Franklin,"Franklin, Robert M.",,D,,,,,"9,987",28.55%,"11,332",45.73%,,,,,SPECIAL GENERAL ELECTION: 9/29/2020; SPECIAL GENERAL RUNOFF ELECTION: 12/01/2020.,John Lewis (D)-,
148,GA,Georgia,05,H2GA05075,,"""Able"" Mable ",Thomas,"Thomas, ""Able"" Mable ",,D,,,,,"6,692",19.13%,,,,,,,SPECIAL GENERAL ELECTION: 9/29/2020.,John Lewis (D)-,
149,GA,Georgia,05,H0GA13156,,Keisha Sean,Waites,"Waites, Keisha Sean",,D,,,,,"4,255",12.17%,,,,,,,SPECIAL GENERAL ELECTION: 9/29/2020.,John Lewis (D)-,
150,GA,Georgia,05,H0GA05251,,"Barrington D., II",Martin,"Martin, Barrington D., II",,D,,,,,"1,944",5.56%,,,,,,,SPECIAL GENERAL ELECTION: 9/29/2020.,John Lewis (D)-,
151,GA,Georgia,05,H0GA05319,,Chase ,Oliver,"Oliver, Chase ",,LIB,,,,,712,2.04%,,,,,,,SPECIAL GENERAL ELECTION: 9/29/2020.,John Lewis (D)-,
152,GA,Georgia,05,H0GA05343,,Steven ,Muhammad,"Muhammad, Steven ",,IND,,,,,282,0.81%,,,,,,,SPECIAL GENERAL ELECTION: 9/29/2020.,John Lewis (D)-,
153,GA,Georgia,05,,,,,,Total State Votes:,,,,,,"34,976",,"24,782",,,,,,SPECIAL GENERAL ELECTION: 9/29/2020; SPECIAL GENERAL RUNOFF ELECTION: 12/01/2020.,John Lewis (D)-,
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,GA,Georgia,S,S0GA00559,,Raphael ,Warnock,"Warnock, Raphael ",,D,,,,,"1,617,035",32.90%,"2,289,113",51.04%,,,,W,SPECIAL GENERAL ELECTION: 11/03/2020; SPECIAL GENERAL RUNOFF ELECTION:  1/05/2021.,Johnny Isakson (R),
156,GA,Georgia,S,S0GA00526,(I),Kelly ,Loeffler,"Loeffler, Kelly ",,R,,,,,"1,273,214",25.91%,"2,195,841",48.96%,,,,,SPECIAL GENERAL ELECTION: 11/03/2020; SPECIAL GENERAL RUNOFF ELECTION:  1/05/2021.,Johnny Isakson (R),
157,GA,Georgia,S,S0GA00567,,Doug,Collins,"Collins, Doug",,R,,,,,"980,454",19.95%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
158,GA,Georgia,S,S0GA00591,,Deborah ,Jackson,"Jackson, Deborah ",,D,,,,,"324,118",6.60%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
159,GA,Georgia,S,S0GA00468,,Matt,Lieberman,"Lieberman, Matt",,D,,,,,"136,021",2.77%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
160,GA,Georgia,S,S0GA00484,,Tamara,Johnson-Shealey,"Johnson-Shealey, Tamara",,D,,,,,"106,767",2.17%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
161,GA,Georgia,S,S0GA00609,,Jamesia,James,"James, Jamesia",,D,,,,,"94,406",1.92%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
162,GA,Georgia,S,S0GA00658,,Derrick E.,Grayson,"Grayson, Derrick E.",,R,,,,,"51,592",1.05%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
163,GA,Georgia,S,S0GA00708,,Joy Felicia,Slade,"Slade, Joy Felicia",,D,,,,,"44,945",0.91%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
164,GA,Georgia,S,S0GA00716,,Annette Davis,Jackson,"Jackson, Annette Davis",,R,,,,,"44,335",0.90%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
165,GA,Georgia,S,S0GA00641,,Kandiss,Taylor,"Taylor, Kandiss",,R,,,,,"40,349",0.82%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
166,GA,Georgia,S,S0GA00492,,A. Wayne,Johnson ,"Johnson , A. Wayne",,R,,,,,"36,176",0.74%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
167,GA,Georgia,S,S0GA00633,,Brian,Slowinski,"Slowinski, Brian",,LIB,,,,,"35,431",0.72%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
168,GA,Georgia,S,S0GA00542,,Richard Dien,Winfield,"Winfield, Richard Dien",,D,,,,,"28,687",0.58%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
169,GA,Georgia,S,S0GA00583,,Ed,Tarver,"Tarver, Ed",,D,,,,,"26,333",0.54%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
170,GA,Georgia,S,S4GA11103,,Allen,Buckley,"Buckley, Allen",,IND,,,,,"17,954",0.37%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
171,GA,Georgia,S,S0GA00617,,"John ""Green""",Fortuin,"Fortuin, John ""Green""",,GRE,,,,,"15,293",0.31%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
172,GA,Georgia,S,S0GA00443,,Al,Bartell,"Bartell, Al",,IND,,,,,"14,640",0.30%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
173,GA,Georgia,S,S0GA00625,,Valencia,Stovall,"Stovall, Valencia",,IND,,,,,"13,318",0.27%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
174,GA,Georgia,S,S0GA00724,,Michael Todd,Greene,"Greene, Michael Todd",,IND,,,,,"13,293",0.27%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
175,GA,Georgia,S,S0GA00732,,Rod,Mack,"Mack, Rod",,W,,,,,7,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,Johnny Isakson (R),
176,GA,Georgia,S,,,,,,Total State Votes:,,,,,,"4,914,368",,"4,484,954",,,,,,SPECIAL GENERAL ELECTION: 11/03/2020; SPECIAL GENERAL RUNOFF ELECTION:  1/05/2021.,Johnny Isakson (R),
177,,,,,,,,,,,,,,,,,,,,,,,,,
178,LA,Louisiana,05,H2LA05126,,Julia,Letlow,"Letlow, Julia",,R,,,,,"67,203",64.86%,,,,,,W,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
179,LA,Louisiana,05,H0LA05070,,"Sandra ""Candy""",Christophe,"Christophe, Sandra ""Candy""",,D,,,,,"28,255",27.27%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
180,LA,Louisiana,05,H2LA05134,,Chad,Conerly,"Conerly, Chad",,R,,,,,"5,497",5.31%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
181,LA,Louisiana,05,H2LA05183,,Robert,Lansden,"Lansden, Robert",,R,,,,,929,0.90%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
182,LA,Louisiana,05,H0LA05179,,Allen,Guillory,"Guillory, Allen",,R,,,,,464,0.45%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
183,LA,Louisiana,05,H2LA05167,,"""Jim""",Davis,"Davis, ""Jim""",,NPA,,,,,402,0.39%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
184,LA,Louisiana,05,H2LA05142,,Sancha,Smith,"Smith, Sancha",,R,,,,,334,0.32%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
185,LA,Louisiana,05,H6LA02173,,"M.V. ""Vinny"" ",Mendoza,"Mendoza, M.V. ""Vinny"" ",,IND,,,,,236,0.23%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
186,LA,Louisiana,05,H2LA05191,,Jaycee,Magnuson,"Magnuson, Jaycee",,R,,,,,131,0.13%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
187,LA,Louisiana,05,H2LA05217,,Richard H.,Pannell,"Pannell, Richard H.",,R,,,,,67,0.06%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
188,LA,Louisiana,05,H2LA05209,,"Horace, III",Melton,"Melton, Horace, III",,R,,,,,62,0.06%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
189,LA,Louisiana,05,H2LA05225,,"Errol, Sr.",Victor,"Victor, Errol, Sr.",,R,,,,,36,0.03%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
190,LA,Louisiana,05,,,,,,Total State Votes:,,,,,,"103,616",,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Rep.-Elect Luke J. Letlow (R)-,
191,,,,,,,,,,,,,,,,,,,,,,,,,
192,LA,Louisiana,02,H2LA02149,,Troy A. ,Carter,"Carter, Troy A. ",,D,,,,,"34,402",36.38%,"48,513",55.25%,,,,W,SPECIAL GENERAL ELECTION: 3/20/2021; SPECIAL GENERAL RUNOFF ELECTION: 4/24/2021.,Cedric L. Richmond (D),
193,LA,Louisiana,02,H2LA02131,,Karen Carter,Peterson,"Peterson, Karen Carter",,D,,,,,"21,673",22.92%,"39,297",44.75%,,,,,SPECIAL GENERAL ELECTION: 3/20/2021; SPECIAL GENERAL RUNOFF ELECTION: 4/24/2021.,Cedric L. Richmond (D),
194,LA,Louisiana,02,H0LA02275,,"Gary, Jr.",Chambers,"Chambers, Gary, Jr.",,D,,,,,"20,163",21.32%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
195,LA,Louisiana,02,H2LA02206,,Claston,Bernard,"Bernard, Claston",,R,,,,,"9,237",9.77%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
196,LA,Louisiana,02,H2LA02172,,Chelsea,Ardoin,"Ardoin, Chelsea",,R,,,,,"3,218",3.40%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
197,LA,Louisiana,02,H2LA02156,,"""Greg""",Lirette,"Lirette, ""Greg""",,R,,,,,"2,349",2.48%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
198,LA,Louisiana,02,H2LA02289,,"Sheldon C., Sr.",Vincent,"Vincent, Sheldon C., Sr.",,R,,,,,754,0.80%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
199,LA,Louisiana,02,H2LA02164,,Desiree,Ontiveros,"Ontiveros, Desiree",,D,,,,,699,0.74%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
200,LA,Louisiana,02,H8LA02161,,"Belden ""Noonie Man""",Batiste,"Batiste, Belden ""Noonie Man""",,IND,,,,,598,0.63%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
201,LA,Louisiana,02,H2LA02271,,Harold,John,"John, Harold",,D,,,,,403,0.43%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
202,LA,Louisiana,02,H2LA02198,,Mindy,McConnell,"McConnell, Mindy",,LIB,,,,,323,0.34%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
203,LA,Louisiana,02,H2LA02180,,J. Christopher,Johnson,"Johnson, J. Christopher",,D,,,,,288,0.30%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
204,LA,Louisiana,02,H2LA02255,,Jenette M.,Porter,"Porter, Jenette M.",,D,,,,,244,0.26%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
205,LA,Louisiana,02,H2LA02248,,Lloyd M.,Kelly,"Kelly, Lloyd M.",,D,,,,,122,0.13%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
206,LA,Louisiana,02,H2LA02230,,Brandon,Jolicoeur,"Jolicoeur, Brandon",,NPA,,,,,94,0.10%,,,,,,,SPECIAL GENERAL ELECTION: 3/20/2021.,Cedric L. Richmond (D),
207,LA,Louisiana,02,,,,,,Total State Votes:,,,,,,"94,567",,"87,810",,,,,,SPECIAL GENERAL ELECTION: 3/20/2021; SPECIAL GENERAL RUNOFF ELECTION: 4/24/2021.,Cedric L. Richmond (D),
208,,,,,,,,,,,,,,,,,,,,,,,,,
209,NM,New Mexico,01,H2NM01144,,Melanie Ann,Stansbury,"Stansbury, Melanie Ann",,D,*,,,,"79,838",60.36%,,,,,W,W,SPECIAL GENERAL ELECTION: 6/01/2021.,Debra A. Haaland (D),
210,NM,New Mexico,01,H2NM01276,,Mark David,Moores,"Moores, Mark David",,R,*,,,,"47,111",35.62%,,,,,W,,SPECIAL GENERAL ELECTION: 6/01/2021.,Debra A. Haaland (D),
211,NM,New Mexico,01,H2NM01151,,Aubrey,Dunn,"Dunn, Aubrey",,DTS,,,,,"3,534",2.67%,,,,,,,SPECIAL GENERAL ELECTION: 6/01/2021.,Debra A. Haaland (D),
212,NM,New Mexico,01,H2NM01292,,Christopher,Manning,"Manning, Christopher",,LIB,*,,,,"1,734",1.31%,,,,,W,,SPECIAL GENERAL ELECTION: 6/01/2021.,Debra A. Haaland (D),
213,NM,New Mexico,01,H2NM01243,,Laura,Olivas,"Olivas, Laura",,W(DTS),,,,,40,0.03%,,,,,,,SPECIAL GENERAL ELECTION: 6/01/2021.,Debra A. Haaland (D),
214,NM,New Mexico,01,,,Robert,Ornelas,"Ornelas, Robert",,W(DTS),,,,,6,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 6/01/2021.,Debra A. Haaland (D),
215,NM,New Mexico,01,,,,,,Total State Votes:,,,,,,"132,263",,,,,,,,SPECIAL GENERAL ELECTION: 6/01/2021.,Debra A. Haaland (D),
216,,,,,,,,,,,,,,,,,,,,,,,,,
217,TX,Texas,06,H8TX06266,,Jake,Ellzey,"Ellzey, Jake",,R,,,,,"10,865",13.85%,"20,873",53.29%,,,,W,SPECIAL GENERAL ELECTION: 5/01/2021; SPECIAL GENERAL RUNOFF ELECTION: 7/27/2021.,Ron Wright (R)-,
218,TX,Texas,06,H2TX06251,,Susan,Wright,"Wright, Susan",,R,,,,,"15,077",19.21%,"18,293",46.71%,,,,,SPECIAL GENERAL ELECTION: 5/01/2021; SPECIAL GENERAL RUNOFF ELECTION: 7/27/2021.,Ron Wright (R)-,
219,TX,Texas,06,H8TX06183,,Jana Lynne,Sanchez,"Sanchez, Jana Lynne",,D,,,,,"10,518",13.40%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
220,TX,Texas,06,H2TX06269,,Brian ,Harrison,"Harrison, Brian ",,R,,,,,"8,485",10.81%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
221,TX,Texas,06,H2TX06327,,Shawn,Lassiter,"Lassiter, Shawn",,D,,,,,"6,973",8.89%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
222,TX,Texas,06,H2TX06384,,John Anthony,Castro,"Castro, John Anthony",,R,,,,,"4,321",5.51%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
223,TX,Texas,06,H2TX06277,,Tammy ,Allison,"Allison, Tammy ",,D,,,,,"4,240",5.40%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
224,TX,Texas,06,H2TX06236,,Lydia,Bean,"Bean, Lydia",,D,,,,,"2,923",3.72%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
225,TX,Texas,06,H2TX06293,,Michael,Wood,"Wood, Michael",,R,,,,,"2,509",3.20%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
226,TX,Texas,06,H2TX06376,,Michael,Ballantine,"Ballantine, Michael",,R,,,,,"2,225",2.84%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
227,TX,Texas,06,H2TX06335,,Dan,Rodimer,"Rodimer, Dan",,R,,,,,"2,088",2.66%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
228,TX,Texas,06,H2TX06285,,"Daryl J., Sr.",Eddings,"Eddings, Daryl J., Sr.",,D,,,,,"1,654",2.11%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
229,TX,Texas,06,H2TX06228,,Mike,Egan,"Egan, Mike",,R,,,,,"1,544",1.97%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
230,TX,Texas,06,H2TX06301,,Patrick ,Moses,"Moses, Patrick ",,D,,,,,"1,189",1.52%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
231,TX,Texas,06,H2TX06350,,"Manuel Richard, III",Salazar,"Salazar, Manuel Richard, III",,D,,,,,"1,120",1.43%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
232,TX,Texas,06,H2TX06343,,Sery,Kim,"Kim, Sery",,R,,,,,889,1.13%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
233,TX,Texas,06,H2TX06319 ,,Travis,Rodermund,"Rodermund, Travis",,R,,,,,460,0.59%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
234,TX,Texas,06,H8TX06332,,Adrian ,Mizher,"Mizher, Adrian ",,IND,,,,,351,0.45%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
235,TX,Texas,06,H2TX06368,,Brian K. ,Stephenson,"Stephenson, Brian K. ",,D,,,,,271,0.35%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
236,TX,Texas,06,H6TX01261,,Phil ,Gray,"Gray, Phil ",,LIB,,,,,265,0.34%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
237,TX,Texas,06,H2TX06244,,Matt,Hinterlong,"Hinterlong, Matt",,D,,,,,252,0.32%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
238,TX,Texas,06,H0TX35064,,Jenny Garcia,Sharon,"Sharon, Jenny Garcia",,R,,,,,150,0.19%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
239,TX,Texas,06,H8TX27148,,Chris,Suprun,"Suprun, Chris",,D,,,,,102,0.13%,,,,,,,SPECIAL GENERAL ELECTION: 5/01/2021.,Ron Wright (R)-,
240,TX,Texas,06,,,,,,Total State Votes:,,,,,,"78,471",,"39,166",,,,,,SPECIAL GENERAL ELECTION: 5/01/2021; SPECIAL GENERAL RUNOFF ELECTION: 7/27/2021.,Ron Wright (R)-,
241,,,,,,,,,,,,,,,,,,,,,,,,,
242,OH,Ohio,11,H2OH11169,,Shontel,Brown,"Brown, Shontel",,D,"38,505",50.11%,,,"82,913",78.88%,,,,,W,W,SPECIAL PRIMARY ELECTION: 8/03/2021; SPECIAL GENERAL ELECTION: 11/02/2021.,Marcia L. Fudge (D),
243,OH,Ohio,11,H2OH11151,,Nina,Turner,"Turner, Nina",,D,"34,239",44.56%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
244,OH,Ohio,11,H2OH11177,,Jeff ,Johnson,"Johnson, Jeff ",,D,"1,388",1.81%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
245,OH,Ohio,11,H2OH11185,,"John E., Jr.",Barnes,"Barnes, John E., Jr.",,D,801,1.04%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
246,OH,Ohio,11,H2OH11193,,Shirley,Smith,"Smith, Shirley",,D,599,0.78%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
247,OH,Ohio,11,H2OH11243,,Seth J. ,Corey,"Corey, Seth J. ",,D,493,0.64%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
248,OH,Ohio,11,H2OH11235,,Pamela M. ,Pinkney,"Pinkney, Pamela M. ",,D,184,0.24%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
249,OH,Ohio,11,H2OH11227,,Will,Knight,"Knight, Will",,D,182,0.24%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
250,OH,Ohio,11,H0OH11122,,Tariq K. ,Shabazz,"Shabazz, Tariq K. ",,D,134,0.17%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
251,OH,Ohio,11,H2OH11300,,Martin,Alexander,"Alexander, Martin",,D,105,0.14%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
252,OH,Ohio,11,H8OH11281,,James Jerome,Bell,"Bell, James Jerome",,D,101,0.13%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
253,OH,Ohio,11,H2OH11284,,Lateek ,Shabazz,"Shabazz, Lateek ",,D,61,0.08%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
254,OH,Ohio,11,H8OH11166,,Isaac,Powell,"Powell, Isaac",,D,52,0.07%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
255,OH,Ohio,11,,,,,,Total Party Votes:,D,"76,844",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
256,OH,Ohio,11,H0OH11098,,Laverne,Gore,"Gore, Laverne",,R,"4,009",74.05%,,,"22,198",21.12%,,,,,W,,SPECIAL PRIMARY ELECTION: 8/03/2021; SPECIAL GENERAL ELECTION: 11/02/2021.,Marcia L. Fudge (D),
257,OH,Ohio,11,H8OH11323,,Felicia  ,Washington Ross,"Washington Ross, Felicia  ",,R,"1,405",25.95%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
258,OH,Ohio,11,,,,,,Total Party Votes:,R,"5,414",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Marcia L. Fudge (D),
259,OH,Ohio,11,,,,,,Total State Votes:,,"82,258",,,,"105,111",,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021; SPECIAL GENERAL ELECTION: 11/02/2021.,Marcia L. Fudge (D),
260,,,,,,,,,,,,,,,,,,,,,,,,,
261,OH,Ohio,15,H2OH15228,,Mike ,Carey,"Carey, Mike ",,R,"18,805",36.98%,,,"94,501",58.30%,,,,,W,W,SPECIAL PRIMARY ELECTION: 8/03/2021; SPECIAL GENERAL ELECTION: 11/02/2021.,Steve Stivers (R),
262,OH,Ohio,15,H2OH15145,,Jeff ,LaRe,"LaRe, Jeff ",,R,"6,776",13.32%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
